name,node_id,osm_node_id,x_coord,y_coord,zone_id,TAZ_ID,geometry,notes,old_node_id,is_boundary,activity_type,poi_id,production_14:00-18:00,atraction_14:00-18:00,production_16:00-17:00,atraction_16:00-17:00
,3446,42372972,-112.113514,33.4768519,,,POINT (-112.113514 33.4768519),,37,0,motorway,,,,,
,3447,1506459512,-112.1134291,33.4760515,,,POINT (-112.1134291 33.4760515),,38,0,motorway,,,,,
,3448,42407035,-112.1131458,33.4741694,,,POINT (-112.1131458 33.4741694),,39,0,motorway,,,,,
,3449,3506423002,-112.1128726,33.498071,,,POINT (-112.1128726 33.498071),,40,0,motorway,,,,,
,3450,8935299067,-112.1130423,33.4768924,,,POINT (-112.1130423 33.4768924),,41,0,motorway,,,,,
,3451,1506459653,-112.1126402,33.4789778,,,POINT (-112.1126402 33.4789778),,42,0,trunk,,,,,
,3452,903657821,-112.1128962,33.5088633,,,POINT (-112.1128962 33.5088633),,43,0,secondary,,,,,
,3453,1562974142,-112.1119104,33.5101105,,,POINT (-112.1119104 33.5101105),,44,0,secondary,,,,,
,3454,903657839,-112.1120421,33.5082836,,,POINT (-112.1120421 33.5082836),,45,0,secondary,,,,,
,3455,903657845,-112.1128197,33.5104466,,,POINT (-112.1128197 33.5104466),,46,0,secondary,,,,,
,3456,41248943,-112.113201,33.4850762,,,POINT (-112.113201 33.4850762),,47,0,motorway,,,,,
,3457,42407046,-112.1132615,33.4774044,,,POINT (-112.1132615 33.4774044),,48,0,motorway,,,,,
,3458,256783831,-112.113497,33.4819984,,,POINT (-112.113497 33.4819984),,49,0,secondary,,,,,
,3459,4348042854,-112.1135709,33.4813005,,,POINT (-112.1135709 33.4813005),,50,0,secondary,,,,,
,3460,3508148853,-112.1126028,33.4954211,,,POINT (-112.1126028 33.4954211),,51,0,secondary,,,,,
,3461,1104113871,-112.1134512,33.4945572,,,POINT (-112.1134512 33.4945572),,52,0,secondary,,,,,
,3462,256785167,-112.1125819,33.4959827,,,POINT (-112.1125819 33.4959827),,53,0,secondary,,,,,
,3463,4092233604,-112.1128932,33.5087637,,,POINT (-112.1128932 33.5087637),,54,0,secondary,,,,,
,3464,41256502,-112.1119799,33.5109842,,,POINT (-112.1119799 33.5109842),,55,0,secondary,,,,,
,3465,1104113781,-112.1125952,33.4942236,,,POINT (-112.1125952 33.4942236),,56,0,secondary,,,,,
